cluster,Age,Income,Spending,count,Age_z,Income_z,Spending_z,cluster_name
0,56.33,54.27,49.07,45,1.2544817355219844,-0.24008570949044808,-0.043868363604030215,Senior Savers
1,32.69,86.54,82.13,39,-0.44208280839905206,0.991641769882646,1.239572433519187,Affluent Big Spenders
2,25.56,26.48,76.24,25,-0.9537793057830194,-1.3008141461740017,1.010913440928269,Aspirational Spenders
3,26.12,59.42,44.45,40,-0.9135899595649236,-0.043513149255820505,-0.22322397409130368,Balanced Regulars
4,44.0,90.13,17.93,30,0.36959845182712925,1.1286700206093083,-1.252771764161108,Frugal Affluents
5,45.52,26.29,19.38,21,0.47868382013338895,-1.3080663377166386,-1.196480501129388,Budget-Minded Savers
